FileName,Description,Keywords,FirstName,AssetType,Source name,ExpirationDate,Language,Folder_path
UP&GO Protein Logo (CHOC-B) PMS.eps,PROTEIN,Iced,King,/DAM/Asset Type/video/TVC |/Audio/Music,Sashmith,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Logos/Protein/01%20UP&GO%20Protein%20Logo%20(EPS)/01%20PMS/UP&GO%20Protein%20Logo%20(CHOC-B)%20PMS.eps
Snowboard.png,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Characters/Snowboard.png
01 OOH UP&GO Protein BOTTLE 1080x1920 (7 Sec).mp4,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Characters/Snowboard.png
01 UP&GO (Iced Coffee) PROTEIN 1920x1080 (15 Sec).mp4,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Communications%20Campaigns/Protein%20Energize/Protein%20Energize%20Iced%20Coffee/01%20UP&GO%20(Iced%20Coffee)%20PROTEIN%201920x1080%20(15%20Sec).mp4
01757-Up & Go Logo HIRES-01.jpg,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Logos/01757-Up%20&%20Go%20Logo%20HIRES-01.jpg
01757-Up & Go Logo HIRES-02.jpg,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Logos/01757-Up%20&%20Go%20Logo%20HIRES-02.jpg
01757-Up & Go Logo LOWRES-02.jpg,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Logos/01757-Up%20&%20Go%20Logo%20LOWRES-02.jpg
02 OOH UP&GO Protein BOTTLE 1920x1080 (7 Sec).mp4,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Communications%20Campaigns/Protein%20Energize/02%20OOH%20UP&GO%20Protein%20BOTTLE%201920x1080%20(7%20Sec).mp4
02 UP&GO (Iced Coffee) PROTEIN 3840x1080 (7 Sec).mp4,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Communications%20Campaigns/Protein%20Energize/Protein%20Energize%20Iced%20Coffee/02%20UP&GO%20(Iced%20Coffee)%20PROTEIN%203840x1080%20(7%20Sec).mp4
02 UP&GO (Iced Coffee) PROTEIN 3840x1080 (7 Sec)-V2.mp4,Sample image 2,example,madhavan,/DAM/Asset Type/Icon|/Logo,Nandha,10/02/2026,English|French,https://dluxtechcorp.sharepoint.com/sites/sanitarium_aprimo_asset/Shared%20Documents/Assets/UP&GO/Communications%20Campaigns/Protein%20Energize/Protein%20Energize%20Iced%20Coffee/02%20UP&GO%20(Iced%20Coffee)%20PROTEIN%203840x1080%20(7%20Sec)-V2.mp4
